gene,pval
isogroup251955,-0.160916230990739
isogroup116036,-0.921831437196541
isogroup43442,-0.443845488229583
isogroup118962,1.27473037693078
isogroup236441,0.292151582080156
isogroup268856,-0.147890360083292
isogroup269062,-0.0854171129339362
isogroup173963,-0.159039375438045
isogroup232429,-0.273530443255355
isogroup264057,-1.57255614043544
isogroup271388,-0.181907392069327
isogroup116571,0.523981050286795
isogroup268083,-1.80172925114849
isogroup44452,-1.41260745685762
isogroup227514,-2.45279275548798
isogroup243001,2.11457772438395
isogroup265584,1.16577247279294
isogroup46761,0.523173128931008
isogroup209738,-1.45831633393052
isogroup225275,-0.345888948652179
isogroup263746,-0.04169000534592
isogroup264479,0.460760952498462
isogroup113601,-1.51519947755831
isogroup156522,1.85316249562426
isogroup168799,1.34569268827159
isogroup178132,-0.434503090930849
isogroup268404,-0.281644641832103
isogroup40678,0.618095065403961
isogroup194210,-1.13192913009875
isogroup268055,-0.30456716599681
isogroup117215,0.190933183734014
isogroup186691,-1.01623688993037
isogroup191353,0.0121812211495359
isogroup217206,-0.00152183828025642
isogroup271997,-0.0710299685139699
isogroup272314,-1.84484993691316
isogroup273735,-0.49372485150303
isogroup48500,-2.61260725602331
isogroup119829,-0.384007437307701
isogroup181470,-0.537483646975454
isogroup216964,2.58519881564305
isogroup270973,-1.15868149607319
isogroup271326,1.29965738707576
isogroup273340,0.865221813239263
isogroup56557,-1.94765695796143
isogroup56913,0.702696691892498
isogroup114580,0.623398480402765
isogroup114965,0.77443983057878
isogroup115276,-0.422541307178406
isogroup153222,-0.0870545352984513
isogroup165177,0.29470988546454
isogroup171056,-1.01156583065318
isogroup182913,-0.388241189538084
isogroup269383,1.32742263719317
isogroup269750,-0.226783937675892
isogroup34085,-1.23062121083058
isogroup39371,-4.05966165356517
isogroup53282,0.495640954966517
isogroup114249,-0.400415249934445
isogroup115630,-0.613983554410772
isogroup168032,-1.07959650461102
isogroup180592,0.831363245390944
isogroup197248,0.0608663814240396
isogroup218209,1.00853116795866
isogroup219770,-0.433713591165078
isogroup271113,0.241125309290335
isogroup275328,-0.416187468261962
isogroup40645,-0.360080689378135
isogroup46856,-0.358543044446323
isogroup54163,-1.83975306894398
isogroup115053,-1.8082008829994
isogroup115441,1.46621321712194
isogroup115489,-0.795065037301477
isogroup117106,0.485338664636152
isogroup181689,-1.64532169175362
isogroup206080,-3.78347357960194
isogroup211079,-1.00599623625075
isogroup211099,0.620295355224189
isogroup265498,2.81310132322296
isogroup269076,0.662081178935611
isogroup43224,-0.17821836165203
isogroup43691,-0.00543793998887102
isogroup48501,-0.316040116794217
isogroup52145,-2.13543222108406
isogroup114361,-0.441293731409421
isogroup114915,-0.237874290676162
isogroup116832,-0.297563619000422
isogroup117282,0.116114059140537
isogroup198205,1.28917124600069
isogroup218907,-2.84962591063181
isogroup269924,0.0728497988164934
isogroup68527,1.12020996569409
isogroup113517,4.63563185753195
isogroup115237,1.15719655407399
isogroup115354,-0.54309952394191
isogroup117208,1.61143580356716
isogroup119097,-0.5752816949134
isogroup119372,1.02701178740143
isogroup154991,2.38996636949494
isogroup177372,0.0574603724414806
isogroup201050,-2.86188663111527
isogroup201335,1.21819347673567
isogroup205341,-1.64921190179023
isogroup242646,0.1103102557866
isogroup267799,-0.563831555757873
isogroup49792,2.45043666536766
isogroup63633,-0.474290624338447
isogroup162699,0.334691960342249
isogroup201964,-1.31169274890527
isogroup239119,-0.489309533027597
isogroup269825,-0.248357650612738
isogroup270588,2.35427356150089
isogroup272340,-1.34178684869189
isogroup40076,1.26725560368346
isogroup48514,-2.95378975486626
isogroup114485,-0.200248496721037
isogroup114795,-2.68740174287655
isogroup186133,-1.19590456291176
isogroup193601,0.375549033971136
isogroup206798,-0.812392569618657
isogroup225071,-0.281988134857526
isogroup264609,0.0838707125185503
isogroup270669,-0.853432092472237
isogroup275442,0.349538100362535
isogroup41013,1.24272754797591
isogroup52085,-0.576827941357717
isogroup84260,-0.612450321125675
isogroup113758,-0.463599501706328
isogroup113972,0.340247922490688
isogroup169174,0.61911865864894
isogroup174486,0.893222773805277
isogroup182736,0.206719382107411
isogroup183976,-0.0476289631348172
isogroup185682,0.222559280245885
isogroup214421,-1.79299739444991
isogroup240580,-0.687601735583426
isogroup267744,-1.35093238417589
isogroup269622,1.76126612364654
isogroup271362,-0.0695537678681474
isogroup37194,1.39898743761081
isogroup46788,-3.02906241540132
isogroup48057,-0.459633780235337
isogroup114947,-0.192213580975969
isogroup117783,1.31221416416065
isogroup167673,-0.929986116099005
isogroup176770,-0.695167307297048
isogroup181630,-1.56837122336903
isogroup186903,0.578937388088697
isogroup265296,0.36318079263401
isogroup266561,-0.496651950537841
isogroup269219,1.32712182709757
isogroup270230,0.0475302843957136
isogroup43746,-0.888899222538457
isogroup78511,-1.42482481101744
isogroup86362,0.973549378284105
isogroup114096,0.0590318125976374
isogroup160586,0.280098863405921
isogroup171437,0.569013995387953
isogroup182904,-2.73259223742432
isogroup204421,-0.0803575128138182
isogroup256578,0.896076785360568
isogroup259985,1.36120811101856
isogroup267677,-0.848953100916048
isogroup268379,-0.0427559685289533
isogroup268859,-3.44580276847732
isogroup270033,-0.470000249565244
isogroup270853,-1.59446104087868
isogroup271599,-2.32518237163372
isogroup43920,-1.08229342021907
isogroup49919,-0.115936067151825
isogroup58257,0.0101426771417542
isogroup113679,2.41505903901956
isogroup114189,-1.44206338566899
isogroup119454,-0.00360813831171742
isogroup152436,1.00328718577043
isogroup153630,-0.558236264855635
isogroup169850,0.137356478899027
isogroup186738,-2.050252786172
isogroup194202,0.707709005350933
isogroup197156,2.47596816743139
isogroup223321,-0.717465520739858
isogroup267240,-0.0230922251821123
isogroup268254,0.146270957569281
isogroup46771,-1.910013699451
isogroup47318,-0.692737941551362
isogroup55036,-2.10745225721918
isogroup113753,0.0634326099435931
isogroup115264,-0.206754113660357
isogroup116621,-0.907979547622039
isogroup116622,0.218062726741763
isogroup119790,-0.643700223449353
isogroup191347,0.496102379275918
isogroup207548,0.989844546696471
isogroup212773,-0.0154355614929178
isogroup222488,0.177653164396789
isogroup259617,0.831907406026548
isogroup266893,0.466810839050258
isogroup267473,-1.05433572420371
isogroup268112,0.424978671878561
isogroup268440,0.137407383138461
isogroup42784,-2.04406048402522
isogroup57841,-0.385150923714627
isogroup114970,-0.378530794756136
isogroup115083,1.02508074038487
isogroup115223,0.177415788131174
isogroup115473,-0.690418286339812
