gene,pval
isogroup113852,-1.78845087870717
isogroup113969,0.90775910197248
isogroup115230,0.865335611318183
isogroup115385,-0.502949364873365
isogroup118568,0.440520531896097
isogroup118973,-0.251015211166721
isogroup206447,3.17107133576424
isogroup207217,1.05162958875206
isogroup211000,3.08566350600521
isogroup214447,-2.43985813527496
isogroup227791,0.397044675220886
isogroup268467,1.26058455404494
isogroup269925,-0.107487894316141
isogroup269998,0.365389192466474
isogroup272628,-0.136810957904525
isogroup272902,0.713462728888534
isogroup272966,-0.548636756863796
isogroup273194,-0.523942734480091
isogroup273213,-1.01821592780037
isogroup273703,-0.758977211765139
isogroup274333,0.785727357217241
isogroup275262,-2.57326774341258
isogroup33405,-0.384279107112686
isogroup35596,-1.13590190935008
isogroup45216,1.32352575981572
isogroup51392,0.34991173987161
isogroup81118,0.106688333802747
isogroup94607,-1.70212001218681
isogroup116753,-0.0100272999445046
isogroup118724,0.142231817114264
isogroup119805,-1.89880599915545
isogroup123016,0.615566878733818
isogroup153062,0.0473297454530523
isogroup162234,-0.0589769551534112
isogroup165830,1.22979565388103
isogroup170233,-0.103800094170078
isogroup181781,0.272864278977593
isogroup183370,-0.36666955113343
isogroup186739,0.0626266357337767
isogroup196753,0.549243500808235
isogroup199948,0.210928752634798
isogroup208575,-1.31147360608624
isogroup209483,1.25529046159587
isogroup210547,-0.0948230497988818
isogroup216095,1.6499847162987
isogroup216620,-0.381357875683703
isogroup265430,2.47032376195841
isogroup265954,0.0650010239907738
isogroup267907,-2.2566208490056
isogroup267956,-0.326947123069025
isogroup269490,-1.5484490996614
isogroup269980,-0.65760071196298
isogroup270914,-0.548813645934787
isogroup272859,-1.90083928564182
isogroup33765,-0.154306253491714
isogroup42175,0.432618332716074
isogroup44549,1.16705947596168
isogroup48098,-1.05164672006621
isogroup49895,-0.5864991745323
isogroup79170,3.25333475467075
isogroup115550,-0.29517140380817
isogroup117727,-0.409568526587803
isogroup118446,0.672970115369652
isogroup118669,-1.0713566412116
isogroup119960,0.630664012323099
isogroup168561,0.300588560941611
isogroup170367,0.932100838393574
isogroup170835,-0.746216138526813
isogroup173301,-2.51979023196087
isogroup180038,-1.34959508445983
isogroup180462,0.202841103475855
isogroup184039,-1.56103458953064
isogroup185568,-3.55614994851472
isogroup190008,-1.86718693239873
isogroup196409,-0.166466908067274
isogroup203629,2.48589798217069
isogroup214128,-0.461672788820197
isogroup214454,-1.89582983317174
isogroup225425,0.535075934457965
isogroup268828,0.365839157904985
isogroup268831,-0.26950568184475
isogroup269346,-1.74223656163789
isogroup269809,1.4251586510465
isogroup270108,-0.0502604754715552
isogroup270792,-2.30700984748183
isogroup270984,0.120542293515688
isogroup272284,0.044580289176522
isogroup276005,-0.131989578718519
isogroup34770,-0.987554700077975
isogroup36578,-0.452272080777938
isogroup37310,3.64826172900196
isogroup38111,-0.322795581048745
isogroup52049,3.14130400362436
isogroup57490,-0.797633972388666
isogroup111683,0.219730991941886
isogroup119318,-1.17070711543881
isogroup119599,-0.0403870940796888
isogroup166353,-1.52248773388293
isogroup177420,-1.30931112470221
isogroup183412,1.1422127179813
isogroup184987,-0.22784926716723
isogroup232461,-1.3937465535213
isogroup271812,-1.29175565144296
isogroup272530,0.0253574045056647
isogroup273019,-1.06617729440898
isogroup274174,-0.191038702811685
isogroup35190,-0.0305107825570741
isogroup36063,-0.7575855272284
isogroup38286,0.574108515462951
isogroup43864,0.301705911104338
isogroup56043,1.99718976559284
isogroup56416,-0.572724881242209
isogroup67675,-0.729728994203278
isogroup84652,-0.0880439408501274
isogroup85171,0.0648591601009556
isogroup111744,0.304798853968534
isogroup114762,-0.565197558150245
isogroup115283,1.97802722328487
isogroup115325,-2.65356462959295
isogroup118198,-0.601602589735851
isogroup119020,1.68651498761444
isogroup151406,-0.608559261527973
isogroup178854,-0.143405692415035
isogroup185185,0.353016590208052
isogroup211464,0.894805646025998
isogroup217022,-1.46884520841048
isogroup224025,-0.0797687286141156
isogroup244406,0.87042339662855
isogroup270076,0.076940127920061
isogroup270305,0.484950333873569
isogroup272012,-1.00706833219215
isogroup272156,-0.382295561065972
isogroup272680,2.71260909967187
isogroup273949,1.94507952192473
isogroup34774,-0.334844838138476
isogroup41173,0.387614073358034
isogroup47657,0.196896735820018
isogroup55691,1.60338667682418
isogroup87651,0.284309889375313
isogroup88607,-0.946381836487637
isogroup113807,0.0601949513538563
isogroup114868,0.263043631007062
isogroup119415,0.949583081115978
isogroup119417,-0.97405214614879
isogroup119958,-0.534450922493733
isogroup154046,-0.306098506552763
isogroup165838,-0.659789469385233
isogroup171611,-0.00506424596884099
isogroup185957,-0.668380329951237
isogroup195962,-1.06700571770633
isogroup214291,1.02482076593279
