isogroup254591	GO:0045177;GO:0005938;GO:0005737;GO:0005634;GO:0030695;GO:0042802;GO:0000132;GO:0060487
isogroup263729	GO:0003677;GO:0003887;GO:0046872;GO:0003964;GO:0004523
isogroup247214	GO:0000777;GO:0016020;GO:0005524;GO:0003677;GO:0004386;GO:0051301;GO:0007067
isogroup263591	GO:0016323;GO:0005938;GO:0045169;GO:0005794;GO:0005811;GO:0031594;GO:0005886;GO:0008091;GO:0045170;GO:0003779;GO:0005509;GO:0008092;GO:0008017;GO:0051693;GO:0016199;GO:0007417;GO:0060429;GO:0045478;GO:0048134;GO:0030727;GO:0007294;GO:0042062;GO:0048790;GO:0007026;GO:0007274;GO:0007308;GO:0030707;GO:0007009;GO:0008360;GO:0050807;GO:0030721
isogroup449027	GO:0005634;GO:0046872;GO:0003676;GO:0006355;GO:0006351
isogroup257217	GO:0031362;GO:0005783;GO:0004556;GO:0005509;GO:0044247;GO:0046379;GO:0009272;GO:0008360
isogroup251989	GO:0005737;GO:0015630;GO:0032389;GO:0005654;GO:0005634;GO:0005524;GO:0016887;GO:0003677;GO:0004519;GO:0032138;GO:0006200;GO:0006298;GO:0042493;GO:0016446;GO:0016447
isogroup260743	GO:0005829;GO:0031901;GO:0005070;GO:0016197;GO:0007173;GO:0006886;GO:0061024;GO:0042059;GO:1903543;GO:0009967;GO:1903551;GO:0007165
isogroup253951	GO:0008168
isogroup253949	GO:0016021;GO:0005886;GO:0004872;GO:0051183
isogroup251746	GO:0070062;GO:0005634;GO:0004252
isogroup249791	GO:0016021
isogroup228807	
isogroup259031	GO:0003677;GO:0015074;GO:0006310;GO:0075713;GO:0046718
isogroup247800	GO:0031410;GO:0005769;GO:0009897;GO:0016021;GO:0016020;GO:0005886;GO:0030141;GO:0031982;GO:0046872;GO:0004222;GO:0042803;GO:0006915;GO:0030819;GO:0010613;GO:0045745;GO:0001921;GO:0016485;GO:0006508;GO:0008217;GO:0070372;GO:0042312;GO:0046686;GO:0042493;GO:0001666;GO:0035994
isogroup232384	GO:0000166;GO:0031013;GO:0019722
isogroup232078	GO:0046872
isogroup254524	GO:0005783;GO:0005739;GO:0016607;GO:0005730;GO:0003677;GO:0003906;GO:0046872;GO:0003723;GO:0080111;GO:0006281
isogroup241389	GO:0032580;GO:0016021;GO:0008376;GO:0033842;GO:0008152
isogroup179334	GO:0016607;GO:0005634;GO:0000347;GO:0000445;GO:0000346;GO:0003729;GO:0001824;GO:0000902;GO:0006406;GO:0006397;GO:0016973;GO:0010468;GO:0010793;GO:0008380;GO:0017145;GO:0046784
isogroup256808	GO:0005737;GO:0005829;GO:0005783;GO:0005794;GO:0045121;GO:0005759;GO:0005634;GO:0048471;GO:0005886;GO:0042734;GO:0030552;GO:0030553;GO:0004118;GO:0004112;GO:0008144;GO:0046872;GO:0042803;GO:0006198;GO:0019933;GO:0071321;GO:0035690;GO:0097011;GO:0036006;GO:0071260;GO:0046069;GO:0019934;GO:0061028;GO:0030818;GO:0033159;GO:0000122;GO:0043116;GO:0050729;GO:0043117;GO:0006626
isogroup259772	GO:0016021
isogroup258855	GO:0016021;GO:0060009;GO:0007286
isogroup242389	GO:0005929;GO:0005737;GO:0030286;GO:0005874;GO:0003774;GO:0007017
isogroup240782	GO:0005737;GO:0032794;GO:0030036;GO:0016477;GO:0007010;GO:0008360
isogroup246898	GO:0009986;GO:0016021;GO:0005886;GO:0052595;GO:0052594;GO:0005507;GO:0052596;GO:0008131;GO:0048038;GO:0052593;GO:0009308;GO:0007155
isogroup236993	GO:0005524;GO:0003677;GO:0003887;GO:0004386;GO:0007049;GO:0051301;GO:0006310;GO:0006260;GO:0006261;GO:1990067;GO:0009933;GO:0009640;GO:2000011;GO:1902749;GO:0010468
isogroup259048	GO:0005622;GO:0005871;GO:0031966;GO:0005524;GO:0003777;GO:0007005;GO:0072384
isogroup262270	GO:0015969
isogroup248670	GO:0005737;GO:0005524;GO:0004335;GO:0033858;GO:0006012
isogroup228342	GO:0005737;GO:0016020;GO:0007275;GO:0009966
isogroup410811	GO:0005737;GO:0005634;GO:0046872;GO:0004518
isogroup240830	GO:0005634;GO:0003677;GO:0003899;GO:0006366
isogroup355495	GO:0005901;GO:0030659;GO:0016021;GO:0031965;GO:0005543;GO:0001778
isogroup250105	GO:0005634;GO:0003887;GO:0043565
isogroup246604	GO:0005794;GO:0032580;GO:0016021;GO:0003831;GO:0008378;GO:0030145;GO:0046525;GO:0043206;GO:0006024;GO:0048147;GO:0006487;GO:0006029
isogroup240928	GO:0000781;GO:0005737;GO:0070062;GO:0005634;GO:0005524;GO:0004004;GO:0001047;GO:0008094;GO:0003725;GO:0051880;GO:0002151;GO:0042826;GO:0044822;GO:0044212;GO:0006200;GO:0001503;GO:0032206;GO:0045944;GO:0043330;GO:0009615;GO:0006396;GO:0010501;GO:0006351
isogroup208142	GO:0005737;GO:0005634;GO:0004563;GO:0005975
isogroup263791	GO:0004190;GO:0004519;GO:0003676;GO:0003964;GO:0015074
isogroup100532	GO:0016021;GO:0005887;GO:0045121;GO:0005886;GO:0042734;GO:0015485;GO:0004930;GO:0016595;GO:0008066;GO:0001641;GO:0001642;GO:0007196;GO:0007216;GO:0007528;GO:0051966
isogroup329440	GO:0016020;GO:0019005;GO:0004842;GO:0006513;GO:0016567;GO:0010506;GO:0014066;GO:0031146
isogroup227204	GO:0016021;GO:0006869;GO:0055085
isogroup208580	GO:0005737;GO:0005829;GO:0005739;GO:0005634;GO:0016272;GO:0051087;GO:0051084;GO:0044267;GO:0006457
isogroup93689	GO:0005634;GO:0051059;GO:1900017;GO:0051092;GO:0051091
isogroup262324	GO:0005794;GO:0043231;GO:0016831;GO:0030170;GO:0019752
isogroup106030	GO:0005634;GO:0003677;GO:0046872;GO:0003700;GO:0006355;GO:0006351
isogroup253349	GO:0005576;GO:0004415;GO:0005975
isogroup235090	GO:0005634;GO:0003723
isogroup228480	GO:0008833;GO:0003677;GO:0008270;GO:0006281
isogroup189598	GO:0005887;GO:0005509;GO:0007155;GO:0007156;GO:0007399
isogroup253869	GO:0016021;GO:0005765;GO:0055085
isogroup243224	GO:0005789;GO:0016021;GO:0005524;GO:0016773;GO:0004672;GO:0046835;GO:0006493
isogroup226659	GO:0005737;GO:0000166;GO:0036131;GO:0047017;GO:0001516
isogroup172344	GO:0030054;GO:0016021;GO:0045211;GO:0004889
