sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	A3	A3ac	A3ah	A3q	22426_A	A3n	36535_A	B1dk	B5	37609_B	2764853_B	788202_B	2764854_B	2764855_B	B2	51947_B	43578_B	2764857_B	2764856_B	B19	2764858_B	43335_B	2764859_B	2764861_B	2764860_B	1160612_B	1403659_B	50408_B	2764863_B	2764862_B	2764866_B	2764865_B	2764864_B	43518_B	B1	C1	C1c	C1na	C1b	C1al	C72k	11549_C	C1w	C3ju	C3	C15	428560_C	C1jx	C1bc	C42au	C42.2	C3ew	25718_C	21069_C	C3sa	C1t	C1ge	C1hq	C1my	281_C	C1ij	C1cu	C1l	C1bh	C1km	C1br	8196_C	C15bg	21062_C	5429_C	C3lk	C93b	C1ch	C1j	21059_C	17032_C	11574_C	21053_C	3630_C	21085_C	C1do	C15i	37251_C	C93a	13926_C	1327181_C	C1fh	6394_C	13074_C	21064_C	C42ca	8526_C	8380_C	42305_C	378934_C	284_C	21508_C	21042_C	21982_C	C1en	C1ai	C1.5	7802_C	5725_C	D1	D4	E1c	2764867_E	2764869_E	2764870_E	2764868_E	1468422_E
151870	C6	C6_R1_RT_ITS.fastq.gz	9cbdc6bf4692d9e71fb70ef6eacdf6bdfa8d0a8ee52002e69b04a8c22d8b6109	C6_R2_RT_ITS.fastq.gz	a1cb69646d9584245580efc3056617369733f2b6658ad97267a2682fbb941af9	722	20220725T155812_cbove	10040	6320	317	6320	317	0	0	0	0	5988	21	0	0	174	0	0	0	0	0	0	coral_field	Cnidaria	Hexacorallia	Scleractinia	Siderastreidae	Siderastrea	siderea	16.12538000	88.26836000	20141122	3-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3912	729	317	128	141	129	83	61	71	44	0	61	33	47	31	0	28	0	30	28	26	27	0	0	0	0	32	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151877	B10	B10_R1_RT_ITS.fastq.gz	d9cdd3c97ed9fe57a93bf4e27573c4bff08f06c2f4aee7cfc13d738c0a9de67e	B10_R2_RT_ITS.fastq.gz	592cda257717fa380c1051bc77178f484111ecc4f62886bb19e377af1cadc32f	722	20220725T155812_cbove	11841	7335	391	7335	391	0	0	0	0	6935	24	0	0	246	0	0	0	0	0	0	coral_field	Cnidaria	Hexacorallia	Scleractinia	Siderastreidae	Siderastrea	siderea	16.11747000	88.25727000	20141122	3-5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4714	740	276	149	92	131	111	89	79	81	0	39	37	35	31	0	57	56	40	31	36	34	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151890	B12	B12_R1_RT_ITS.fastq.gz	c838a6e8edaf8c2d1f7546ce0c96421e6db2adff74fdc280faf509519438f31e	B12_R2_RT_ITS.fastq.gz	c16db202e6c2f27e942c758c8be066f638386d8608e04da56fe1eb0b2c9ec2f0	722	20220725T155812_cbove	17367	11027	528	11023	527	0	0	4	1	10298	24	0	0	351	0	0	0	0	0	0	coral_field	Cnidaria	Hexacorallia	Scleractinia	Siderastreidae	Siderastrea	siderea	16.12538000	88.26836000	20141122	3-5	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6719	1312	430	257	201	178	139	127	103	105	0	76	78	56	53	49	58	77	59	53	53	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0
151873	F6	F6_R1_RT_ITS.fastq.gz	83a516c81473384ce0ea372b706c430414329a4212f9eed84b578f13858bed9a	F6_R2_RT_ITS.fastq.gz	5af83933980f1b265476075d97376ec51075467a604d160191c2dc7e8098e735	722	20220725T155812_cbove	8362	5361	291	5361	291	0	0	0	0	5013	21	0	0	157	0	0	0	0	0	0	coral_field	Cnidaria	Hexacorallia	Scleractinia	Siderastreidae	Siderastrea	siderea	16.18954000	88.57267000	20141122	3-5	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3328	520	248	147	108	99	80	69	58	60	0	26	42	42	28	25	26	26	0	0	22	21	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151868	A6	A6_R1_RT_ITS.fastq.gz	19a036a426a18e0ee829658f949ecef88696dfe4764b68965b6dc8798b051607	A6_R2_RT_ITS.fastq.gz	b971bc4db6749cb84424cf1275fec467b08c41dc92241b65fe9a654adc4a450e	722	20220725T155812_cbove	9642	6198	309	6198	309	0	0	0	0	5817	19	0	0	179	0	0	0	0	0	0	coral_field	Cnidaria	Hexacorallia	Scleractinia	Siderastreidae	Siderastrea	siderea	16.18954000	88.57267000	20141122	3-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3767	595	291	247	129	109	141	71	62	62	0	38	43	35	27	42	31	0	0	26	0	0	0	0	0	72	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151894	F12	F12_R1_RT_ITS.fastq.gz	d289d7dfc354d992afdd65eb1c8f630e1ee31e1aa743f25a76358b152c723a88	F12_R2_RT_ITS.fastq.gz	caf6b0dec061f19afb766bb6cbaf9c817ef14a8517bf3fba64ba02d1c9ac6abb	722	20220725T155812_cbove	8250	4790	284	4790	284	0	0	0	0	4497	23	0	0	192	0	0	0	0	0	0	coral_field	Cnidaria	Hexacorallia	Scleractinia	Siderastreidae	Siderastrea	siderea	16.11747000	88.25727000	20141122	3-5	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3015	469	187	117	63	81	77	43	44	60	0	22	28	28	28	0	38	37	38	21	20	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0
151876	A10	A10_R1_RT_ITS.fastq.gz	ea2f3c164cfff83f93c2cb6971fd288e44c5b1205b0ae8d289f9b438a5891267	A10_R2_RT_ITS.fastq.gz	bb3ab9612836142386034bacad9ff33cb1f65f3a0b6795c5cba7619080b69c28	722	20220725T155812_cbove	10905	6555	381	6555	381	0	0	0	0	6200	25	0	0	221	0	0	0	0	0	0	coral_field	Cnidaria	Hexacorallia	Scleractinia	Siderastreidae	Siderastrea	siderea	16.11747000	88.25727000	20141122	3-5	20	6	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4002	853	241	124	144	113	100	55	64	59	0	48	53	41	48	0	27	0	41	30	29	33	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
151886	F11	F11_R1_RT_ITS.fastq.gz	5c9b2cebd4095ab289f0e2b81d4e489f408573aa49fe9c1cf82b416a2d32ca0c	F11_R2_RT_ITS.fastq.gz	3b6690a94d52c82b3579d6d90b903ce9b80befafd0b082b17d6272d70b6e707c	722	20220725T155812_cbove	9591	5546	337	5535	334	0	0	11	3	5207	27	0	0	191	0	18	0	0	0	0	coral_field	Cnidaria	Hexacorallia	Scleractinia	Siderastreidae	Siderastrea	siderea	16.12538000	88.26836000	20141122	3-5	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3371	599	204	185	85	88	101	55	48	42	0	31	39	39	35	40	0	27	32	23	23	0	33	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	53	9	4	5	0	0
151882	B11	B11_R1_RT_ITS.fastq.gz	a1eaed5d6282516bc3c572a46310624f4be92a7fba58a7da2b64a4191ce9ad46	B11_R2_RT_ITS.fastq.gz	1e89b6cd85460fcb23242efe6820d2ca69a0a09a8653004b1f5b638b540cc665	722	20220725T155812_cbove	10022	5719	332	5719	332	0	0	0	0	5356	25	0	0	205	0	0	0	0	0	0	coral_field	Cnidaria	Hexacorallia	Scleractinia	Siderastreidae	Siderastrea	siderea	16.18954000	88.57267000	20141122	3-5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3589	499	228	164	95	84	71	69	58	64	0	36	38	24	23	62	31	42	26	0	28	0	0	0	30	0	0	0	35	25	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151874	G6	G6_R1_RT_ITS.fastq.gz	4429cb323c2ad80a54efaaf9f4f8c9c2c4cf39e0a2b42f03fe41b0a389ce5a77	G6_R2_RT_ITS.fastq.gz	f79ec6f4241ca6ef2696441120bb451582249510223d073dcd488dcc90266803	722	20220725T155812_cbove	15206	9482	441	9482	441	0	0	0	0	8992	23	0	0	292	0	0	0	0	0	0	coral_field	Cnidaria	Hexacorallia	Scleractinia	Siderastreidae	Siderastrea	siderea	16.12538000	88.26836000	20141122	3-5	87	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5886	979	406	250	163	160	179	121	82	116	0	66	55	46	56	44	50	47	0	40	0	43	61	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
