gene,pval
isogroup113852,-1.75671076718178
isogroup113969,0.227812065503954
isogroup115230,0.074764582248784
isogroup115385,1.14701164384311
isogroup118568,0.447237146088281
isogroup118973,-0.278440144331469
isogroup206447,-0.0888782123986366
isogroup207217,1.85659758194668
isogroup211000,2.43306574034441
isogroup214447,-0.945441200150601
isogroup227791,1.40929424081861
isogroup268467,1.72290226143767
isogroup269925,-0.320859882377069
isogroup269998,-0.222489571125257
isogroup272628,0.0698870638435272
isogroup272902,-0.174036290833931
isogroup272966,0.0647838688207269
isogroup273194,-0.469642625122981
isogroup273213,-0.304257157014828
isogroup273703,0.560327392436183
isogroup274333,1.82917277140483
isogroup275262,-0.718686825362203
isogroup33405,-0.0909585436074035
isogroup35596,-1.04089375685906
isogroup45216,3.47336837873976
isogroup51392,2.68259979141349
isogroup81118,-0.0698424014380251
isogroup94607,0.41016183910612
isogroup116753,0.254366683666793
isogroup118724,-0.285454030330723
isogroup119805,-1.1923836308886
isogroup123016,1.16416903154959
isogroup153062,0.455236936353973
isogroup162234,1.2455532085907
isogroup165830,0.953526994597338
isogroup170233,0.462165646891412
isogroup181781,0.304084099962146
isogroup183370,-0.665070229692631
isogroup186739,0.799741985704968
isogroup196753,0.176832915831462
isogroup199948,-0.764216004816679
isogroup208575,-0.339173047393829
isogroup209483,1.14594747023672
isogroup210547,0.101932023101055
isogroup216095,1.52556325523957
isogroup216620,-2.23202011915272
isogroup265430,2.79235837517661
isogroup265954,-0.247512884777461
isogroup267907,-1.08728918807395
isogroup267956,-0.758195595713126
isogroup269490,-0.966341777711163
isogroup269980,0.502991644028723
isogroup270914,-2.44068204678706
isogroup272859,-1.92525753407962
isogroup33765,-0.638571405900668
isogroup42175,0.00499372684772291
isogroup44549,-0.0646057529449685
isogroup48098,-0.687333126748801
isogroup49895,-0.602554142967567
isogroup79170,0.958733371370004
isogroup115550,-0.0747369017515002
isogroup117727,0.651535248703405
isogroup118446,0.294191253927642
isogroup118669,-0.713302658752822
isogroup119960,0.971113552104316
isogroup168561,-0.365668970604667
isogroup170367,0.169226698060833
isogroup170835,-1.02842820341947
isogroup173301,-1.39398854680642
isogroup180038,-1.6843836126305
isogroup180462,0.876423933367927
isogroup184039,-0.221379654517423
isogroup185568,-3.98629741386549
isogroup190008,-2.67679189522459
isogroup196409,-0.159481303881422
isogroup203629,0.451793282579865
isogroup214128,-0.248692802798344
isogroup214454,-2.16333076367641
isogroup225425,0.4580860467805
isogroup268828,0.277455292561829
isogroup268831,0.280314267823948
isogroup269346,-2.92237703447632
isogroup269809,0.699870149273584
isogroup270108,0.13811807958776
isogroup270792,-2.15506644946762
isogroup270984,-0.430688119837104
isogroup272284,-0.225088983767969
isogroup276005,4.78804290363578
isogroup34770,-0.245195348647015
isogroup36578,-0.972705953571847
isogroup37310,2.76817061714066
isogroup38111,0.478140542196235
isogroup52049,1.29286330451247
isogroup57490,-0.339519308858938
isogroup111683,0.785258656190536
isogroup119318,-0.358544124807161
isogroup119599,-0.969406085272061
isogroup166353,-2.04825259569308
isogroup177420,-1.11209017855556
isogroup183412,0.222083412424615
isogroup184987,-0.442252275654681
isogroup232461,-0.862594019326228
isogroup271812,-1.77825487979471
isogroup272530,-0.913212084424827
isogroup273019,-1.48860888231214
isogroup274174,-0.70865232965627
isogroup35190,0.931429974060537
isogroup36063,-0.00926599076850518
isogroup38286,0.202405393865457
isogroup43864,0.0410369358077604
isogroup56043,0.887519471699701
isogroup56416,-2.48283056224546
isogroup67675,-1.18961394211411
isogroup84652,-1.18329603771013
isogroup85171,-0.370249727626034
isogroup111744,-0.0934580829600223
isogroup114762,-0.920392608350396
isogroup115283,1.63434264983746
isogroup115325,-0.565411236744627
isogroup118198,-0.529184729837959
isogroup119020,2.06682326324641
isogroup151406,-0.931569236651922
isogroup178854,-0.234284520648732
isogroup185185,0.390459729132779
isogroup211464,-1.41740644709629
isogroup217022,-0.269051323171337
isogroup224025,-1.1507934010581
isogroup244406,2.88072336816158
isogroup270076,0.664622008736232
isogroup270305,0.44559382493863
isogroup272012,-2.84559910314043
isogroup272156,0.495660682037558
isogroup272680,0.721068692691165
isogroup273949,2.78600826730812
isogroup34774,-0.597474759447876
isogroup41173,-0.317844209540693
isogroup47657,0.858189880423003
isogroup55691,-0.0694462636141903
isogroup87651,-1.05378773323288
isogroup88607,-1.18457152513965
isogroup113807,0.102016130205998
isogroup114868,2.25256009626354
isogroup119415,0.130723490597529
isogroup119417,-0.671716771921866
isogroup119958,-2.02369625113956
isogroup154046,0.481704613201738
isogroup165838,-1.56560344396934
isogroup171611,-1.11260972232251
isogroup185957,-0.699782703425856
isogroup195962,-0.37191256439787
isogroup214291,1.40879863709832
isogroup222381,-1.03180383691202
isogroup229313,-1.17582399917984
isogroup231156,-0.735307123982069
isogroup240740,0.262272927157995
isogroup241333,-0.762517044126828
isogroup257994,-0.173086224770578
isogroup266017,-0.945873643167194
isogroup268834,-0.839013313757971
isogroup272987,-0.570988935656609
isogroup273217,0.262058838804097
isogroup33687,3.52110344181015
isogroup35101,-1.28346654881417
isogroup37747,0.289072605420203
isogroup46541,-1.77730005759755
isogroup52789,1.71079088834168
isogroup56758,-0.473974875992002
isogroup90540,1.303947282618
isogroup113834,1.99279662378876
isogroup114697,0.421282459988642
isogroup116895,-1.39612603327205
isogroup119539,-0.945349971771903
isogroup155176,-1.39912053636858
isogroup171733,-1.87352888529296
isogroup173267,-0.635759782272165
isogroup184988,0.740561406778148
isogroup185344,-0.599646357393805
isogroup201395,0.944812794675112
isogroup203222,0.895511826515329
isogroup205127,-0.549352143933357
isogroup205724,0.625576824753247
isogroup229247,1.80224866277822
isogroup229658,0.385251882099711
isogroup266644,0.182416018049066
isogroup269161,-0.396159088130137
isogroup271630,-0.413687476717356
isogroup272184,-0.410187416680957
isogroup273368,0.16858873310084
isogroup42493,1.23098529912015
isogroup43197,0.00310061225173169
isogroup44694,-1.38844748271277
isogroup46654,-0.371425653106876
isogroup52792,0.39617647441408
isogroup56803,-2.70077142583397
isogroup67001,0.508770835411366
isogroup78723,-0.61380390568346
isogroup114499,0.670518813318025
isogroup115393,0.56574224544317
isogroup118645,-0.609840043342745
isogroup119808,1.2831414295267
isogroup170480,1.50918871921451
isogroup171837,0.258400070589658
isogroup184041,-2.07690233178015
isogroup194743,3.35215926438419
isogroup206463,-1.46628102424431
isogroup206624,0.27104776029596
isogroup212604,0.0647302747695136
isogroup214729,-0.311980567152011
isogroup220157,0.662550630614005
isogroup222589,-1.7598329173223
