gene,pval
isogroup249191,2.05576932478699
isogroup118385,-0.407169023937363
isogroup243605,-0.0882130527785829
isogroup234445,0.25398495379435
isogroup260597,0.378288575759278
isogroup244413,1.29538758755145
isogroup247664,0.43760263461107
isogroup248229,-0.841999825206752
isogroup257903,1.51028686509925
isogroup261276,0.0140853369606414
isogroup263560,-1.64402050335039
isogroup238141,0.370005624671193
isogroup225840,-0.686468245072248
isogroup243912,-0.0170660284498407
isogroup251783,1.88936660399258
isogroup245733,0.291466488240017
isogroup256242,-0.113305169886351
isogroup263800,-0.924400956556977
isogroup238471,-0.804191856706857
isogroup252423,-1.33011208745379
isogroup258738,3.4932999260715
isogroup262964,-1.18944385424897
isogroup239502,3.36112590687583
isogroup254883,3.01835598572196
isogroup260944,0.423365293072908
isogroup241945,2.93070870241933
isogroup255685,-0.0468433113014153
isogroup262060,-0.52847240408639
isogroup122038,0.106478123987549
isogroup157573,-0.444414148273609
isogroup241463,-0.373001173310828
isogroup242669,0.747720516062034
isogroup242845,-0.421280358877726
isogroup248612,-1.46130912216377
isogroup251006,-0.087521942605391
isogroup255289,-1.62276552707861
isogroup256891,-2.35994092189676
isogroup257031,-0.130129427201122
isogroup260567,-0.0395921761591967
isogroup191746,3.09681327301561
isogroup211533,0.74346558509318
isogroup219362,-0.346762938603914
isogroup235054,-0.675607165049814
isogroup236390,0.209668423541658
isogroup246971,1.8320176345579
isogroup254038,-1.16038490964775
isogroup255186,-2.58055233841898
isogroup260404,-0.251584417789666
isogroup208928,-0.0706985530637839
isogroup216051,0.140893053673183
isogroup231758,0.295655768534897
isogroup235920,0.0213369962601767
isogroup236493,-0.521586422855449
isogroup247479,-0.187397118853305
isogroup260547,1.15572568629473
isogroup262611,-0.463793209135898
isogroup262950,0.938512590696031
isogroup121432,0.86444647562483
isogroup237702,0.12351747038268
isogroup241642,-1.30537007282611
isogroup254689,-0.518271747001988
isogroup262624,0.45670967869685
isogroup167185,0.162989132611235
isogroup229846,0.0960528638583703
isogroup255963,1.3620905338484
isogroup258540,0.595334416947339
isogroup261098,-1.82619337586017
isogroup262554,-0.330329659432162
isogroup244352,0.876455614939603
isogroup245238,3.01428260628913
isogroup251397,0.828500695827519
isogroup261183,1.58473349016439
isogroup262980,-1.32681480849266
isogroup164622,0.619812937516401
isogroup251126,-4.1765982708319
isogroup251342,1.87877787887532
isogroup257744,0.138038852395762
isogroup258571,-3.71857684538768
isogroup259778,0.513890648436092
isogroup263251,-0.614261017249801
isogroup209768,-0.914553674534741
isogroup218794,-0.782629179829635
isogroup224901,-0.780423149711629
isogroup228634,1.72278690938452
isogroup236185,0.203182939023749
isogroup248822,0.830941579097622
isogroup250754,0.97275812514419
isogroup253416,0.142325233719703
isogroup254054,-0.155807093319654
isogroup255520,0.561865961716198
isogroup257303,0.934571374924491
isogroup257530,0.206797353945107
isogroup258948,-0.519221737820696
isogroup259411,-0.999107656189691
isogroup260066,1.41984580361176
isogroup261831,-0.262643810931781
isogroup262428,1.71297469052716
isogroup262830,-0.226996884710575
isogroup239085,0.878586866336124
isogroup246612,0.0539607237976671
isogroup246775,0.517745232808514
isogroup250021,2.64821470874209
isogroup252656,-0.945114677759912
isogroup255009,-0.192727898878745
isogroup256235,-0.110589569184667
isogroup258814,-1.75174085408015
isogroup262372,-1.42245101906663
isogroup176827,1.43949394871498
isogroup219102,0.389025749096746
isogroup230228,1.35827630244593
isogroup236919,-0.433091485795572
isogroup243620,-0.924708105236751
isogroup244735,-1.32443269182342
isogroup251266,1.76203536619323
isogroup256309,-0.221064113995785
isogroup256951,-0.431115701206322
isogroup258362,0.928920699881354
isogroup259103,-1.02509265745882
isogroup259146,-0.430195273105578
isogroup260314,-1.31154705632067
isogroup260406,1.01670890227115
isogroup262805,2.31110728295421
isogroup263537,-0.789588263676831
isogroup263692,0.0497737382166171
isogroup208473,-0.772622397518999
isogroup224197,0.714669361952423
isogroup246361,-0.779404914174218
isogroup249175,-0.102966598420406
isogroup249307,-0.341235270748839
isogroup252304,-3.9179834225152
isogroup252873,0.46351374275386
isogroup254363,0.198926474335768
isogroup255347,-0.0725884548030207
isogroup256973,-1.0224957661194
isogroup257209,-1.59337405244492
isogroup260216,2.58602041369503
isogroup262427,2.81831120607535
isogroup208774,-0.533536792646938
isogroup232411,3.80968403252705
isogroup235119,1.029452288705
isogroup238339,2.23557963452932
isogroup240672,0.292899186916455
isogroup240899,0.0163335901174669
isogroup242234,-0.431645306686316
isogroup242940,0.218242120704768
isogroup249458,-0.266126822489511
isogroup250508,0.673264271276973
isogroup257808,0.33481085936394
isogroup259200,-2.31421195651419
isogroup261441,-1.4635551487948
isogroup158209,1.28849521762941
isogroup211001,4.13094843451156
isogroup233641,-0.132517405647754
isogroup250166,0.492627653256853
isogroup251613,0.20791321782092
isogroup252409,-0.804679910057382
isogroup252719,0.298561145277406
isogroup254329,-2.52340009879421
isogroup254391,-1.37448074286174
isogroup258207,1.90954684416025
isogroup261638,-0.577930661947517
isogroup262700,-0.059248163065576
isogroup285671,0.163717988016472
isogroup231885,-2.22769668990788
isogroup235641,-4.76955206329978
isogroup243330,0.141451924331645
isogroup244418,1.20466684135448
isogroup246515,3.0509339508933
isogroup252732,0.812350558016882
isogroup254652,-1.76580117705425
isogroup256564,2.18644534199735
isogroup260598,0.0927039645185276
isogroup241295,1.43808553029312
isogroup256800,-0.430246721347718
isogroup257231,-1.08598213296864
isogroup257433,0.788084305876175
isogroup263786,-0.450891995151539
isogroup241420,-0.861126494436763
isogroup241754,-0.936192806731339
