baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
isogroup130755	2.97626258820548	-0.1296152333924	0.382865811056223	-0.338539586584727	0.73495660047465	0.998444274898645
isogroup216653	2.94932053855534	-0.494981830450594	0.41579094325129	-1.1904584226392	0.23386626229796	0.998444274898645
isogroup224701	2.9257213702675	0.328707925649372	0.399985622675658	0.821799352313011	0.411191102430317	0.998444274898645
isogroup226212	2.82787222048975	-0.00664173262336976	0.344926785060539	-0.0192554852537882	0.984637294958964	0.998444274898645
isogroup239490	2.88951973820999	-0.017218173292215	0.435688795264072	-0.0395194310236484	0.968476261900487	0.998444274898645
isogroup246490	2.7511034410884	-0.0953589090492292	0.390926346886081	-0.243930627364488	0.807284548311383	0.998444274898645
isogroup248033	3.02691301592836	0.95761822777406	0.402511803452986	2.37910595306532	0.01735468685286	0.998444274898645
isogroup251542	2.82218858009308	-0.190526448980717	0.441157942598706	-0.431878088510417	0.665830020822738	0.998444274898645
isogroup255858	2.89389980830161	-0.0752108694942447	0.370889249297099	-0.20278525095236	0.839302886465115	0.998444274898645
isogroup255942	2.98303292718737	0.0843846554050742	0.433104631858508	0.194836649617365	0.845520829824175	0.998444274898645
isogroup259091	2.76418071033586	-0.394957299957275	0.458514552830983	-0.86138443702323	0.389026344666216	0.998444274898645
isogroup202644	2.86603131096222	-0.106368868799477	0.379425484220643	-0.280341920147941	0.779215192009997	0.998444274898645
isogroup218142	2.83169656197945	-0.704038386039757	0.41462715985228	-1.69800354200286	0.0895070933243635	0.998444274898645
isogroup235300	2.83856729645345	-0.68735348207745	0.391229365446448	-1.7569066710856	0.0789337183777813	0.998444274898645
isogroup235439	2.88697484746934	-0.722874335162196	0.418565472845834	-1.72702810446204	0.0841626162056427	0.998444274898645
isogroup244119	2.85414324864368	0.0455523455695996	0.358692741294943	0.126995448542247	0.898944000919863	0.998444274898645
isogroup246142	3.10088487036155	-0.893065426651345	0.580566718644585	-1.53826493660596	0.123983849255365	0.998444274898645
isogroup246957	2.91836382922581	-0.126087890462863	0.440389072617278	-0.286310215904107	0.774640534336019	0.998444274898645
isogroup248993	2.95065698222458	-0.0158811385565816	0.559457025826169	-0.0283866996453023	0.977353732073288	0.998444274898645
isogroup251810	2.90150290963234	0.0476145017719714	0.38653816108577	0.1231818913771	0.901963064938991	0.998444274898645
isogroup252941	2.8634155846835	0.289702483164693	0.588432786958515	0.492328927934326	0.622486833271312	0.998444274898645
isogroup253341	2.90749114338319	0.211181369208772	0.365150134403635	0.578341206292241	0.563033779509005	0.998444274898645
isogroup258135	2.8650925936612	-0.622336043946308	0.425815883889825	-1.46151439505091	0.143874328016745	0.998444274898645
isogroup259104	2.90362948118025	0.626145034208734	0.354545780713496	1.7660484717902	0.0773877171690363	0.998444274898645
isogroup262798	2.87846782417704	-0.537851848706131	0.398842600644465	-1.34853159576497	0.17748746498552	0.998444274898645
isogroup263412	2.83936852012441	0.0630202098803044	0.383636432604236	0.164270659729851	0.869518078048179	0.998444274898645
isogroup47743	2.8418899298424	-0.0318595182434072	0.383943351222913	-0.08297973683339	0.933867651702768	0.998444274898645
isogroup225476	2.94596849232435	-0.538223217436013	0.407706779454736	-1.32012329585451	0.186793856046282	0.998444274898645
isogroup232254	2.96085681953189	-0.337587963213972	0.406463320659652	-0.830549636474205	0.406228096147935	0.998444274898645
isogroup235947	3.00039225499792	0.365583275135274	0.367971392028122	0.993510047398833	0.32046145653952	0.998444274898645
isogroup242182	2.84439880143453	0.342774155644333	0.370596994941311	0.924924271710881	0.355005300242662	0.998444274898645
isogroup246413	2.89858041269232	0.606428336998823	0.449517052871617	1.34906636605846	0.177315650279007	0.998444274898645
isogroup246559	2.8899138655283	-0.178625937069694	0.391557343843159	-0.456193556010135	0.648250798858473	0.998444274898645
isogroup249724	2.71255865481519	0.00370753136903399	0.42012056766467	0.00882492230657284	0.992958822135032	0.998444274898645
isogroup250211	2.9546715082652	-0.050688381199349	0.378438103374011	-0.133941008443469	0.893449222382349	0.998444274898645
isogroup250533	2.85692593200754	0.724644686583489	0.463950821886656	1.56189977988771	0.118311600357302	0.998444274898645
isogroup250561	2.95061659174512	-0.324359806340376	0.403549068160308	-0.803767947771658	0.421531004036397	0.998444274898645
isogroup252690	2.99705363807631	0.17421272492076	0.40408948187665	0.431124126546654	0.666378118736633	0.998444274898645
isogroup254121	3.03308869735509	0.161992420914109	0.38693577285511	0.418654547546235	0.675468618280299	0.998444274898645
isogroup261280	2.97721595861049	-0.263399206924689	0.383242965544593	-0.687290389140988	0.491899754020912	0.998444274898645
isogroup222595	2.91037832725545	0.0211924337844878	0.447407947458828	0.0473671375416012	0.962220620051443	0.998444274898645
