baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
isogroup113852	2.87377043511305	-0.680685040829799	0.499087248260744	-1.3638598124915	0.172611691137802	0.982630983441407
isogroup113969	2.94532488610015	0.12448145500038	0.482164155231754	0.258172354061756	0.796273893107202	0.996528364316946
isogroup115230	2.96400348785151	0.0381636613601486	0.422120691466421	0.0904093595307316	0.927961919324303	0.996528364316946
isogroup115385	2.99503341779179	0.458187121989843	0.458446519226964	0.999434182121049	0.317584408054038	0.982630983441407
isogroup118568	2.74568726026124	0.202673271933102	0.432555413423915	0.468548689123623	0.639392260920668	0.989572025143725
isogroup118973	2.95887648060148	-0.140705054381786	0.454663724203542	-0.309470597480075	0.756963574954778	0.996528364316946
isogroup206447	2.69333066354861	-0.0466304259854662	0.436662660359709	-0.106788214836262	0.914956997207346	0.996528364316946
isogroup207217	3.13621106864123	0.592780025497911	0.418052062779083	1.41795742271259	0.156203195826878	0.982630983441407
isogroup211000	2.99777951931235	0.684111709961821	0.400699324543707	1.70729439272414	0.0877673478091699	0.982630983441407
isogroup214447	3.00912937620965	-0.419622753808666	0.486617278051799	-0.862326047050056	0.388508123240684	0.982630983441407
isogroup227791	2.81397286820637	0.498553943317845	0.428212564734424	1.16426743252395	0.244315650334802	0.982630983441407
isogroup268467	2.90306934655853	0.560427434414626	0.416599818638307	1.34524166680253	0.178547204554525	0.982630983441407
isogroup269925	2.95508900927589	-0.175941225368454	0.501136307062045	-0.351084570982145	0.72552490269312	0.994597200319487
isogroup269998	3.19389960238495	-0.122426985332561	0.484533432603203	-0.25266984091234	0.800523355264497	0.996528364316946
isogroup272628	3.06564926370907	0.0365896030229868	0.431985656462354	0.0847009674409768	0.932499126826655	0.996528364316946
isogroup272902	2.83113424660537	-0.0920298335019971	0.456604253162644	-0.201552729446906	0.840266403136605	0.996528364316946
isogroup272966	2.9970835088511	0.0378582459387799	0.481035599110346	0.0787015472634396	0.937270014761368	0.996528364316946
isogroup273194	2.96162238308528	-0.245486198922032	0.502574102621939	-0.48845771726264	0.625225668307866	0.989572025143725
isogroup273213	3.0928643707373	-0.158739044057841	0.473934271721782	-0.33493894307569	0.737671144747995	0.996528364316946
isogroup273703	3.1569778057501	0.259592983856587	0.458202137453183	0.566546863573089	0.571022084931243	0.98873397288643
isogroup274333	2.95201724535191	0.606903131727801	0.432502378606048	1.40323651787499	0.160546321366703	0.982630983441407
isogroup275262	2.78411966992694	-0.349546143189291	0.50333296228817	-0.694463048079032	0.487391866545675	0.987026661803536
isogroup33405	2.81484468121805	-0.0525241950975338	0.48105579174475	-0.109185246283041	0.913055562104518	0.996528364316946
isogroup35596	2.85098583579027	-0.470350344238872	0.506560271247494	-0.928518028230977	0.353138920540397	0.982630983441407
isogroup45216	2.9939820376265	0.944139457945422	0.437727053762349	2.15691365162459	0.031012393045033	0.959015552896137
isogroup51392	2.97806714313431	0.772104406042759	0.423660424334425	1.82246054078745	0.0683851357604391	0.982630983441407
isogroup81118	3.00638703864016	-0.0364709456803147	0.430851234073118	-0.0846485812180019	0.932540775410844	0.996528364316946
isogroup94607	2.84755848067215	0.212189134807583	0.487760878026315	0.435026965807897	0.663542854263722	0.989572025143725
isogroup116753	2.92931986961689	0.123610685151486	0.433251970676233	0.285308996883616	0.775407420674389	0.996528364316946
isogroup118724	2.82011888073292	-0.140284935347967	0.44333038627342	-0.316434288493475	0.751672894538497	0.996528364316946
isogroup119805	3.08270288505385	-0.519896389350868	0.505262383044179	-1.02896318189872	0.303496976424836	0.982630983441407
isogroup123016	2.93717008708561	0.428169731919634	0.423656018369082	1.01065419433419	0.312181967646234	0.982630983441407
isogroup153062	2.85406885769005	0.221774112988843	0.466218952761642	0.475686609639456	0.634297661967096	0.989572025143725
isogroup162234	2.97201335684443	0.501878043827811	0.472133340872429	1.06300064066736	0.287781660799336	0.982630983441407
isogroup165830	2.90520458430149	0.36551946977688	0.421092140220768	0.868027291094171	0.385379392598067	0.982630983441407
isogroup170233	2.86344301236068	0.224714358293337	0.466364959337396	0.481842286377191	0.629917987342862	0.989572025143725
isogroup181781	2.73473888439933	0.163653347457484	0.488853516180475	0.334769705117692	0.737798814988953	0.996528364316946
isogroup183370	2.84757139311309	-0.318237249631624	0.487903963521131	-0.652253872534572	0.514237411703076	0.987026661803536
isogroup186739	2.94850766583736	0.336808284194303	0.445312879224727	0.756340766026514	0.449444912370646	0.987026661803536
isogroup196753	2.85477485311067	0.0860926332639841	0.420877570012398	0.204555052105647	0.83791977595656	0.996528364316946
isogroup199948	2.70787054830091	-0.331576594821722	0.454528915667175	-0.729495051673491	0.465698893580602	0.987026661803536
isogroup208575	2.88797163761619	-0.177442988756088	0.481280271383619	-0.368689512757218	0.712359166525399	0.993577901035009
isogroup209483	3.05617729265614	0.399800980782516	0.40030693275847	0.99873608989865	0.317922552889382	0.982630983441407
isogroup210547	2.79578011460256	0.0531993539493068	0.436928153733356	0.121757669984738	0.903090938903888	0.996528364316946
isogroup216095	3.069842558777	0.515955862393378	0.418385420775121	1.23320707838598	0.217498515179076	0.982630983441407
isogroup216620	2.70547029660359	-0.795991334056521	0.494282974319533	-1.61039601890464	0.107311429152334	0.982630983441407
isogroup265430	2.95742191741739	0.758396278336287	0.4052355792892	1.87149479733874	0.0612765303249396	0.982630983441407
isogroup265954	2.95027624693773	-0.128491797684413	0.461611894610771	-0.278354607375871	0.780740161082887	0.996528364316946
isogroup267907	2.76647407866471	-0.491799955004077	0.512370019471903	-0.959853106766421	0.337129149848298	0.982630983441407
isogroup267956	2.94630609519498	-0.326745230049933	0.450742883454311	-0.724903802242843	0.468511048105431	0.987026661803536
isogroup269490	2.93710434404281	-0.433770783009188	0.494592668514359	-0.877026309977733	0.380472347775133	0.982630983441407
isogroup269980	3.01442740755564	0.230941976474739	0.446155577425669	0.517626559343449	0.60471884738633	0.989572025143725
isogroup270914	3.07375306161543	-0.808993880567245	0.472849737953873	-1.71088998392585	0.0871014239517592	0.982630983441407
isogroup272859	2.84730605149889	-0.799646784717736	0.549815902721111	-1.45439006176464	0.145838193714549	0.982630983441407
isogroup33765	2.77699678142569	-0.308372987698509	0.488711991406461	-0.630991244579541	0.52804624921555	0.987026661803536
isogroup42175	2.92389719694476	0.00275475640477911	0.441244780676095	0.00624314785221516	0.99501872107706	0.998805261664668
isogroup44549	2.91730833160887	-0.0368615836973252	0.469624270030654	-0.0784916497073695	0.937436972299322	0.996528364316946
isogroup48098	2.92578022111833	-0.332932954541431	0.49698199969172	-0.669909483136112	0.502915494112647	0.987026661803536
isogroup49895	2.82519704041028	-0.276503683402562	0.459580850827596	-0.601643177483666	0.54741168131657	0.98873397288643
isogroup79170	2.97869345008348	0.349661531268332	0.401131154283438	0.871688791893891	0.383378176343166	0.982630983441407
isogroup115550	3.18203720624784	-0.0448530632406685	0.49628828480686	-0.0903770341025156	0.927987606127201	0.996528364316946
isogroup117727	2.96936490461832	0.295109466523286	0.460082287857629	0.641427575700559	0.521244921572371	0.987026661803536
isogroup118446	3.04489783026434	0.133700068148213	0.411306059384764	0.325062237955364	0.745133968016638	0.996528364316946
isogroup118669	2.88703255769226	-0.332473942773244	0.481656412682056	-0.69027201552637	0.490023142817578	0.987026661803536
isogroup119960	2.7555477569665	0.41696973685486	0.473632333244973	0.880365861000444	0.378661144332552	0.982630983441407
isogroup168561	2.95803366648041	-0.164261130326718	0.417123471795449	-0.393794982621523	0.693732409024073	0.993577901035009
isogroup170367	2.95070018250231	0.0818490721564323	0.416802066141022	0.196373959741215	0.844317476554146	0.996528364316946
isogroup170835	3.00125963453369	-0.418248574113533	0.454614029511739	-0.920008066101121	0.357568544120929	0.982630983441407
isogroup173301	3.09572885090638	-0.589912949456457	0.510740024292051	-1.15501609703322	0.248083834697342	0.982630983441407
isogroup180038	2.88581914010459	-0.649110322986963	0.490326729543222	-1.32383222018441	0.185558772797078	0.982630983441407
isogroup180462	2.98830412805697	0.346641433085642	0.426419697627818	0.812911399295145	0.416268858350195	0.982630983441407
