	Ssid284.fastq.trim.sam.counts	Ssid401.fastq.trim.sam.counts	Ssid402.fastq.trim.sam.counts	Ssid405.fastq.trim.sam.counts	Ssid409.fastq.trim.sam.counts	Ssid411.fastq.trim.sam.counts	Ssid412.fastq.trim.sam.counts	Ssid413.fastq.trim.sam.counts	Ssid415.fastq.trim.sam.counts	Ssid416.fastq.trim.sam.counts	Ssid417.fastq.trim.sam.counts	Ssid418.fastq.trim.sam.counts	Ssid429.fastq.trim.sam.counts	Ssid430.fastq.trim.sam.counts	Ssid435.fastq.trim.sam.counts	Ssid436.fastq.trim.sam.counts	Ssid438.fastq.trim.sam.counts	Ssid440.fastq.trim.sam.counts	Ssid444.fastq.trim.sam.counts	Ssid445.fastq.trim.sam.counts	Ssid446.fastq.trim.sam.counts	Ssid447.fastq.trim.sam.counts	Ssid450.fastq.trim.sam.counts	Ssid451.fastq.trim.sam.counts	Ssid454.fastq.trim.sam.counts	Ssid455.fastq.trim.sam.counts	Ssid456F.fastq.trim.sam.counts	Ssid457.fastq.trim.sam.counts	Ssid458.fastq.trim.sam.counts	Ssid460.fastq.trim.sam.counts	Ssid461.fastq.trim.sam.counts	Ssid463.fastq.trim.sam.counts	Ssid464.fastq.trim.sam.counts	Ssid467.fastq.trim.sam.counts	Ssid470.fastq.trim.sam.counts	Ssid471.fastq.trim.sam.counts	Ssid472.fastq.trim.sam.counts	Ssid476.fastq.trim.sam.counts	Ssid477.fastq.trim.sam.counts	Ssid495.fastq.trim.sam.counts	Ssid497.fastq.trim.sam.counts	Ssid498.fastq.trim.sam.counts	Ssid499.fastq.trim.sam.counts	Ssid889.fastq.trim.sam.counts	Ssid890.fastq.trim.sam.counts	Ssid891.fastq.trim.sam.counts	Ssid892.fastq.trim.sam.counts	Ssid893.fastq.trim.sam.counts	Ssid919.fastq.trim.sam.counts	Ssid922.fastq.trim.sam.counts	Ssid923.fastq.trim.sam.counts	Ssid924.fastq.trim.sam.counts	Ssid959.fastq.trim.sam.counts	Ssid960.fastq.trim.sam.counts	Ssid961.fastq.trim.sam.counts	Ssid971.fastq.trim.sam.counts	Ssid973.fastq.trim.sam.counts	SsidUNK.fastq.trim.sam.counts	
isogroup115637	0	0	0	2	2	2	1	2	0	1	0	3	2	1	0	1	2	1	0	0	1	4	1	0	1	0	2	0	0	0	0	1	0	0	0	1	1	1	1	1	0	0	3	0	1	0	0	1	2	0	0	0	1	0	0	0	0	1	
isogroup115638	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	
isogroup115639	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
isogroup115640	3	3	15	8	6	6	8	2	4	3	4	3	7	13	9	4	11	2	7	8	4	1	5	5	3	4	4	8	3	3	3	1	4	3	3	3	7	1	11	6	2	1	1	3	8	2	10	2	2	0	7	6	8	1	4	3	5	3	
isogroup115642	14	7	36	12	18	8	15	18	13	15	3	4	23	13	6	9	22	5	11	16	17	4	5	11	6	12	13	11	9	14	15	8	15	5	9	6	18	2	18	16	9	4	14	14	19	5	8	3	4	1	23	19	19	9	10	18	10	3	
isogroup115645	9	5	32	9	13	4	13	7	8	5	10	4	10	8	7	5	16	4	9	12	8	2	6	9	2	10	5	12	4	8	9	4	6	1	9	6	26	4	13	21	7	0	5	7	10	1	3	4	3	0	10	8	10	2	4	14	5	6	
isogroup115646	6	3	9	4	3	1	9	6	10	7	2	6	5	6	5	1	10	4	10	6	1	5	5	5	1	4	2	6	5	6	7	2	4	0	5	0	5	6	3	7	3	3	5	3	6	3	4	2	3	0	6	8	8	2	3	4	1	5	
isogroup115647	3	4	7	3	6	2	1	4	1	1	3	5	4	2	2	4	2	2	4	7	1	0	1	4	4	1	2	1	4	2	3	3	1	1	5	3	5	1	5	4	1	0	1	3	2	0	0	0	2	0	6	3	6	2	1	3	4	3	
isogroup115648	19	4	40	21	34	22	25	20	19	14	14	12	17	17	10	13	23	15	26	30	19	9	8	17	15	19	24	24	16	20	11	18	22	7	19	14	33	11	23	40	21	4	18	12	25	3	24	7	8	0	16	20	18	6	13	23	10	15	
isogroup115649	15	10	18	13	18	15	13	20	16	10	7	10	6	17	11	22	21	13	17	22	12	9	12	12	14	7	14	18	12	20	18	13	12	8	16	8	16	11	17	19	20	5	8	10	4	12	8	7	6	4	20	6	7	7	9	16	14	8	
isogroup115650	22	6	57	26	23	9	20	18	9	14	14	16	14	29	13	16	29	18	21	12	25	4	13	15	27	22	14	19	10	27	24	18	21	13	28	10	38	9	25	25	24	2	15	15	30	7	17	9	8	0	16	10	23	12	14	33	11	16	
isogroup115651	23	7	55	28	22	15	38	26	21	15	14	12	27	32	20	17	28	11	26	37	15	7	18	22	10	12	24	22	20	26	33	14	22	15	18	16	42	13	16	27	23	4	17	11	35	7	22	8	6	3	25	27	21	8	16	15	13	10	
isogroup115655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
isogroup115660	10	4	20	5	15	6	11	15	6	8	9	8	8	13	8	6	18	5	14	17	8	3	7	18	5	7	12	10	16	14	9	10	16	2	9	6	19	8	21	7	11	2	9	6	15	1	8	3	7	2	16	8	12	2	5	12	9	13	
isogroup115661	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup115665	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	
isogroup115667	13	6	22	18	26	15	9	8	10	6	14	10	21	9	6	8	17	9	9	21	5	2	22	15	13	8	18	18	5	17	6	17	19	5	12	5	27	2	16	6	14	5	3	21	17	4	9	7	5	2	25	11	20	1	5	18	19	10	
isogroup115668	3	1	6	1	2	3	1	3	5	1	2	2	2	4	0	3	2	3	3	3	0	1	4	0	2	5	2	2	1	3	3	1	0	0	2	1	6	0	2	3	1	1	1	1	1	2	2	0	0	0	5	3	1	1	3	4	4	1	
isogroup115670	7	3	40	13	20	10	14	27	12	12	10	10	21	16	19	12	22	8	16	18	16	4	5	13	11	9	13	21	13	12	20	10	6	7	16	14	20	9	11	28	12	1	5	7	11	4	8	4	7	0	19	10	23	5	12	16	9	7	
isogroup115671	17	7	57	20	14	10	22	17	11	11	4	5	19	19	20	9	21	10	19	17	27	7	9	8	17	14	9	19	13	12	12	7	15	4	10	8	42	6	22	21	7	5	5	16	23	7	10	2	5	0	22	29	13	1	7	26	14	6	
isogroup115677	0	0	2	2	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	
isogroup115679	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup115680	0	0	0	3	3	7	1	0	1	0	3	5	10	8	3	0	3	0	1	4	2	2	2	5	2	2	2	3	2	2	1	3	0	2	1	1	7	0	3	3	1	1	2	1	5	0	10	0	2	0	7	3	7	0	1	1	0	1	
isogroup115681	5	4	15	6	2	10	13	7	6	1	2	2	3	9	6	7	4	3	5	12	6	3	10	2	2	7	5	7	6	7	6	2	2	2	7	1	9	2	4	7	3	3	6	5	2	4	6	2	3	0	6	10	4	3	3	9	3	1	
isogroup115683	4	4	17	8	7	3	14	5	4	7	3	6	8	3	3	5	17	4	6	6	5	2	2	5	4	4	5	6	2	5	10	7	9	4	4	4	7	2	11	8	12	0	6	4	5	0	6	2	1	1	11	12	9	4	7	5	5	2	
isogroup115688	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	2	0	0	0	0	0	1	0	3	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	1	0	0	0	2	2	2	0	0	0	0	1	
isogroup115690	28	27	41	17	24	32	47	18	59	19	18	20	37	20	16	39	26	25	28	52	24	19	22	13	25	24	13	32	12	37	39	14	35	8	12	17	36	21	21	31	19	23	16	15	25	24	17	22	5	2	39	33	10	14	21	26	28	18	
isogroup115691	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	
isogroup115693	17	8	47	30	30	7	16	20	13	22	14	16	29	25	27	25	26	8	12	23	21	2	9	22	25	25	18	22	16	15	29	22	24	7	31	15	29	19	32	21	13	5	10	20	20	11	14	8	8	4	33	14	18	7	8	34	16	10	
isogroup115694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup115697	5	6	17	4	12	7	14	6	6	5	5	4	8	6	2	8	6	8	7	5	10	13	9	6	4	8	5	6	6	6	10	7	6	2	3	2	10	2	5	5	8	1	5	3	4	1	5	3	3	0	6	12	4	1	7	1	7	7	
isogroup115700	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	
isogroup115704	16	12	78	21	33	20	27	23	24	21	9	22	27	28	26	12	39	7	22	35	28	8	8	19	15	14	16	30	22	32	35	17	17	4	24	12	33	20	23	17	22	6	17	24	23	6	27	4	9	4	32	19	21	3	15	15	9	22	
isogroup115705	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	
isogroup115706	1	0	0	1	0	0	0	2	1	1	1	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	2	2	0	0	0	1	1	0	
isogroup115712	9	5	24	5	6	8	9	9	9	9	4	5	10	11	11	15	6	4	4	11	11	4	9	10	13	5	9	10	8	6	6	5	9	5	10	11	17	10	9	16	8	2	5	12	13	7	10	3	4	0	18	9	13	0	13	6	8	4	
isogroup115713	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
isogroup115714	8	3	32	12	10	19	17	18	15	7	6	7	21	12	7	10	16	6	14	16	5	7	12	8	4	8	11	18	4	9	14	8	8	3	8	12	21	3	4	16	10	1	5	11	8	1	9	5	2	0	10	14	10	4	5	10	9	5	
isogroup115716	2	3	6	3	5	2	3	0	2	1	2	0	3	0	0	0	3	0	2	5	2	2	2	1	3	4	3	2	0	1	1	0	1	2	1	2	3	0	2	3	2	1	2	1	3	1	0	5	0	0	3	2	5	2	2	2	1	1	
isogroup115717	15	13	65	26	26	22	34	24	21	17	28	22	27	35	17	21	38	20	28	22	32	9	16	27	18	26	26	23	18	26	34	15	30	14	20	16	55	6	36	37	31	7	20	18	26	6	25	10	5	2	28	20	31	9	17	30	23	18	
isogroup115718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
isogroup115720	4	2	8	2	5	2	6	3	1	1	1	2	10	8	6	5	11	3	8	5	1	2	6	4	2	2	3	3	2	2	2	1	5	2	4	1	3	1	2	6	3	1	5	5	4	1	5	2	0	3	4	5	3	1	5	8	10	1	
isogroup115721	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
isogroup115723	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup115724	0	1	1	1	1	0	0	0	1	1	0	0	1	0	1	0	0	1	1	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	1	0	0	0	1	2	0	0	1	0	0	0	
isogroup115725	25	15	42	21	33	28	28	27	18	14	23	21	29	15	18	17	28	16	21	21	20	6	18	18	17	8	25	20	14	23	19	24	22	9	20	10	42	19	23	27	17	7	20	16	21	3	25	6	8	3	34	21	26	9	10	39	22	15	
isogroup115727	3	3	2	4	1	4	3	3	4	3	2	1	2	2	0	3	3	1	0	2	1	0	3	0	1	1	1	4	0	5	0	2	4	0	4	2	4	3	4	2	1	0	1	0	2	1	1	1	0	0	1	4	3	1	1	2	0	1	
isogroup115729	2	1	5	2	1	1	6	1	3	1	0	1	2	0	0	3	5	1	0	1	1	0	0	2	0	1	1	2	1	0	0	1	3	1	1	3	3	0	4	3	1	3	5	0	0	1	2	0	0	1	1	1	0	1	0	1	0	0	
isogroup115730	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
isogroup115733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup115734	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	2	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	1	0	0	
isogroup115735	0	1	13	4	20	1	3	4	5	14	4	17	5	5	13	5	8	6	8	3	11	3	5	10	11	3	9	1	6	23	8	7	6	3	5	18	10	2	11	6	7	6	8	3	5	2	0	1	1	2	4	2	0	2	6	3	5	4	
isogroup115736	1	0	3	2	5	1	1	0	0	1	3	0	0	4	4	0	2	0	1	2	1	0	0	3	1	0	1	1	0	2	1	0	3	0	5	0	4	2	3	4	0	0	1	2	1	0	0	0	0	0	1	2	2	1	0	2	0	1	
isogroup115738	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup115740	5	6	37	11	7	9	20	12	10	3	9	11	16	10	8	9	19	3	18	13	12	8	4	14	4	2	10	11	7	6	9	7	11	3	10	5	19	5	13	17	11	2	7	8	6	0	9	4	4	0	17	12	3	2	10	9	3	8	
isogroup115742	1	0	3	1	4	2	3	3	1	1	0	2	1	4	3	1	2	0	1	7	1	0	0	2	2	1	1	2	2	1	3	0	1	0	1	0	5	1	4	1	2	0	1	0	0	0	1	0	0	0	2	1	2	1	1	1	1	1	
isogroup115743	0	0	0	0	3	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
isogroup115746	21	4	52	11	17	14	14	22	17	16	11	17	15	24	10	14	37	7	17	26	15	7	8	17	16	24	8	27	7	12	17	16	21	7	13	11	21	10	16	34	11	5	14	11	15	5	10	4	8	0	24	25	10	6	9	15	11	9	
isogroup115749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup115754	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	
isogroup115755	39	21	122	39	46	31	43	37	30	27	44	24	63	67	38	32	66	23	52	39	40	10	20	32	36	31	36	35	30	44	37	40	24	15	59	22	76	37	61	66	26	11	26	31	52	10	56	12	14	4	55	36	39	6	30	42	25	21	
isogroup115756	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup115759	9	4	28	9	15	3	9	13	8	5	5	7	8	18	9	10	14	0	6	17	8	3	3	6	7	6	7	10	6	6	14	7	11	2	8	0	9	9	11	12	6	1	6	6	7	1	6	3	2	0	11	14	6	0	2	13	7	5	
isogroup115760	29	14	56	26	27	24	35	23	36	24	17	21	29	28	29	33	24	25	23	46	25	34	20	10	26	32	22	24	15	32	45	17	39	4	25	18	52	15	18	34	22	8	28	18	15	9	12	18	7	3	21	18	23	13	9	20	14	19	
isogroup115763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	
isogroup115764	1	0	2	1	2	4	0	2	0	0	2	1	2	4	0	3	3	0	0	0	2	0	0	0	0	1	1	1	2	0	1	0	2	1	0	0	1	2	0	1	1	1	1	0	0	0	0	0	0	0	2	2	0	1	0	1	0	0	
isogroup115765	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup115766	16	8	42	11	20	17	29	21	10	10	12	21	24	21	20	20	22	9	25	31	18	2	14	16	16	15	14	17	12	11	27	10	24	7	17	8	39	17	18	25	16	0	7	16	12	2	18	4	7	0	22	21	23	8	7	21	11	6	
isogroup115767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
isogroup115768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup115769	29	12	122	38	43	39	59	46	40	37	40	35	50	56	44	31	63	34	52	69	67	18	23	35	41	41	39	42	42	47	65	37	56	8	65	32	100	25	51	76	42	10	28	50	39	12	36	10	13	2	55	38	48	12	31	47	31	36	
isogroup115770	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup115773	7	6	37	13	9	12	16	9	14	7	5	7	10	23	11	12	17	7	11	16	13	4	7	8	4	5	7	17	11	12	20	8	15	3	14	4	22	5	11	21	10	3	4	10	8	7	23	3	1	1	14	22	15	4	9	14	4	10	
isogroup115774	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup115780	9	6	23	3	14	9	9	9	6	2	4	6	8	8	3	8	9	2	8	8	5	5	4	6	5	5	13	10	2	3	11	4	4	0	1	4	8	1	10	16	5	5	6	3	3	3	5	1	2	0	17	7	3	6	4	6	3	4	
isogroup115781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup115784	2	1	17	6	8	6	5	3	6	5	5	4	4	9	4	3	13	0	7	4	6	3	5	7	0	4	4	6	1	6	3	9	7	3	5	4	8	6	8	14	2	0	1	2	4	1	6	1	3	0	7	10	3	2	4	2	5	5	
isogroup115785	17	9	49	36	24	11	31	15	18	12	24	17	23	17	30	24	22	11	29	12	12	3	13	14	11	12	11	28	17	31	33	12	16	12	12	10	51	13	26	29	26	2	11	25	24	9	28	4	13	4	24	17	22	11	16	18	28	22	
isogroup115788	5	0	17	5	7	0	11	7	2	2	4	2	5	3	4	3	9	2	4	6	4	1	0	7	4	0	4	5	3	4	4	4	3	3	2	3	11	1	10	9	0	0	1	2	6	1	6	1	8	0	2	7	4	0	2	2	1	3	
isogroup115789	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup115790	4	3	11	5	10	3	14	5	9	1	1	1	4	9	2	9	8	2	9	9	5	8	11	3	7	5	8	6	2	7	9	6	6	0	4	5	6	0	0	9	5	4	3	2	9	4	3	4	2	0	5	14	2	2	3	11	2	6	
isogroup115794	1	1	2	0	2	1	3	0	2	1	1	3	3	2	1	3	0	2	1	0	1	1	0	1	3	2	0	0	1	2	4	1	1	1	5	2	8	2	0	3	1	0	1	3	2	0	0	1	2	0	2	3	3	0	1	0	0	1	
isogroup115796	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup115797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	
isogroup115798	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
isogroup115800	16	1	44	16	23	0	22	18	17	12	12	14	21	19	13	16	27	11	23	15	19	6	7	9	13	9	9	19	14	12	28	12	20	6	16	12	19	11	24	21	13	4	6	15	14	3	9	3	7	0	17	9	15	3	5	20	13	6	
isogroup115803	32	5	60	18	29	19	30	16	16	17	8	16	21	25	21	18	48	8	12	32	28	5	12	26	9	9	22	34	14	17	17	20	17	8	20	19	36	19	21	31	17	6	21	13	24	5	15	12	12	2	27	23	25	8	14	23	19	5	
isogroup115804	10	4	36	6	19	4	20	10	5	7	4	10	11	21	17	6	17	3	10	14	11	5	8	12	5	7	18	16	11	11	14	12	15	3	11	8	12	5	12	20	7	0	5	3	10	1	23	7	2	0	15	22	21	4	5	15	10	4	
isogroup115807	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
isogroup115809	6	5	21	7	5	10	5	6	5	0	5	9	12	6	8	5	15	5	8	13	8	1	7	4	9	6	7	13	7	7	10	6	6	5	7	1	10	4	13	14	5	0	5	5	12	1	4	3	2	0	13	11	9	2	10	2	3	4	
isogroup115810	3	1	6	3	0	1	5	1	2	1	2	0	2	4	1	2	1	1	1	1	4	4	1	3	0	1	2	3	2	5	9	1	4	0	2	0	3	0	0	2	2	3	2	1	0	2	2	2	0	0	5	4	3	3	0	2	4	4	
isogroup115811	16	6	32	10	18	3	20	14	9	6	8	10	16	18	8	10	22	4	15	11	13	4	3	7	19	15	11	6	9	16	20	11	10	2	6	8	14	16	9	15	4	2	8	12	4	8	1	2	0	0	10	10	3	5	5	6	8	10	
isogroup115813	1	2	13	1	3	2	4	7	1	0	1	4	3	6	1	2	4	6	7	4	6	6	2	1	3	3	4	6	3	4	8	5	3	1	1	3	10	4	2	4	3	0	1	0	8	1	2	3	0	0	8	3	1	2	2	8	5	0	
isogroup115814	19	8	29	15	19	15	18	26	23	10	10	14	18	19	10	16	17	6	9	20	17	7	16	13	11	14	15	15	12	21	20	11	14	4	10	16	19	4	19	19	10	8	23	8	13	4	15	5	3	3	23	18	8	4	11	9	12	17	
isogroup115815	17	8	64	24	23	24	40	24	31	12	14	20	30	27	16	11	43	12	19	29	16	6	12	18	22	24	19	22	9	28	26	16	21	9	28	13	39	18	20	24	28	8	10	18	17	4	13	8	6	3	33	16	11	5	10	33	20	7	
isogroup115816	12	1	19	8	8	3	15	3	5	3	5	10	13	11	9	3	9	2	7	12	13	1	5	7	9	8	6	8	8	11	16	6	10	1	3	10	10	5	6	12	3	0	13	6	8	4	5	2	1	2	6	8	6	3	4	5	14	5	
isogroup115817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	
isogroup115818	2	3	16	6	5	4	7	3	6	3	4	7	10	2	9	3	4	5	9	11	8	4	7	7	3	3	4	6	7	2	9	2	8	3	9	6	15	3	6	13	10	3	3	7	5	0	8	3	5	0	7	6	9	1	3	6	1	5	
isogroup115820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	
isogroup115825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup115826	31	18	84	35	42	18	49	26	45	16	24	28	32	39	33	29	47	24	39	41	38	10	17	37	27	34	32	42	27	41	55	30	44	7	26	28	53	19	29	49	40	5	20	27	27	12	35	15	11	5	38	20	7	5	11	34	18	14	
isogroup115828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
isogroup115831	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	
