"","colony","source","trans","TP","rate","estimate","lowerci","upperci"
"163","447","NS","FR","avg",0.888566732,0.755356674119238,0.611268629993552,0.899222476028972
"165","430","NS","FR","avg",0.888266475,0.755356674119238,0.611268629993552,0.899222476028972
"166","429","NS","FR","avg",0.582699708,0.755356674119238,0.611268629993552,0.899222476028972
"167","405","NS","FR","avg",0.796646332,0.755356674119238,0.611268629993552,0.899222476028972
"168","413","NS","FR","avg",0.633715897,0.755356674119238,0.611268629993552,0.899222476028972
"171","470","BR","FR","avg",0.530271194,0.637406352949386,0.451960885609269,0.829300965971903
"173","409","BR","FR","avg",0.715237275,0.637406352949386,0.451960885609269,0.829300965971903
"174","476","BR","FR","avg",0.659004154,0.637406352949386,0.451960885609269,0.829300965971903
"175","455","FR","FR","avg",0.804770907,0.91283571290689,0.7774558151756,1.04151957747275
"176","284","FR","FR","avg",1.016096548,0.91283571290689,0.7774558151756,1.04151957747275
"177","495","FR","FR","avg",0.890342962,0.91283571290689,0.7774558151756,1.04151957747275
"178","436","FR","FR","avg",0.79804004,0.91283571290689,0.7774558151756,1.04151957747275
"179","463","FR","FR","avg",0.806546595,0.91283571290689,0.7774558151756,1.04151957747275
"180","444","FR","FR","avg",1.165019854,0.91283571290689,0.7774558151756,1.04151957747275
"182","477","NS","BR","avg",0.884923398,0.739991622521315,0.579223598351262,0.910199961380461
"183","451","NS","BR","avg",0.476902079,0.739991622521315,0.579223598351262,0.910199961380461
"184","471","NS","BR","avg",0.890237388,0.739991622521315,0.579223598351262,0.910199961380461
"186","464","NS","BR","avg",0.709112588,0.739991622521315,0.579223598351262,0.910199961380461
"187","415","FR","BR","avg",1.049495018,0.996548686800533,0.831808380356073,1.16369034573942
"188","450","FR","BR","avg",0.731795389,0.996548686800533,0.831808380356073,1.16369034573942
"190","460","FR","BR","avg",1.01097913,0.996548686800533,0.831808380356073,1.16369034573942
"191","402","FR","BR","avg",1.199210848,0.996548686800533,0.831808380356073,1.16369034573942
"194","446","BR","BR","avg",0.484225816,0.683011231794882,0.515095858063109,0.847659304453238
"195","454","BR","BR","avg",0.634666918,0.683011231794882,0.515095858063109,0.847659304453238
"196","499","BR","BR","avg",0.634605139,0.683011231794882,0.515095858063109,0.847659304453238
"198","438","BR","BR","avg",0.975835677,0.683011231794882,0.515095858063109,0.847659304453238
"199","411","FR","NS","avg",0.731507679,0.56496288167381,0.32378409528572,0.796605112333717
"200","467","FR","NS","avg",0.399977387,0.56496288167381,0.32378409528572,0.796605112333717
"208","416","BR","NS","avg",1.019694163,0.876579439431389,0.643044107086466,1.10705002045747
"210","458","BR","NS","avg",0.733527941,0.876579439431389,0.643044107086466,1.10705002045747
"211","417","NS","NS","avg",0.731553279,0.88143925480224,0.720213465672898,1.04453490111756
"213","420","NS","NS","avg",0.927695462,0.88143925480224,0.720213465672898,1.04453490111756
"214","435","NS","NS","avg",1.022810381,0.88143925480224,0.720213465672898,1.04453490111756
"215","497","NS","NS","avg",0.847802522,0.88143925480224,0.720213465672898,1.04453490111756
